index,time,link,title,summary
1,20200130,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513868,投資情報站,"指標股：防疫概念股美吾華（1731）股價跳空漲停鎖住，衝上近兩年高點，在疫情尚未緩解下，短線資金可望持續挹注。
關鍵數據：台幣短線快速貶值，升破30元整數關卡，持續關注台幣表現。
技術分析：加權指數帶量失守 
	                    "
2,20200130,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513831,台股重挫 盤中跌逾600點,"台股金鼠年開紅盤，受到武漢肺炎疫情衝擊，盤中指數大跌逾600點，跌幅約5%，盤中跌停檔數超過200檔；台股受到重擊，多空交戰激烈，上市櫃股票交易量超過2500億元，台股上市公司總市值一天就蒸發約1.8兆元，面臨35兆元 
	                    "
3,20200130,https://udndata.com/ndapp/Story?no=4&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513448,高券資比股 迎軋空行情,"台股元月融券快速攀升，由於上市櫃公司將在金鼠年開紅盤後陸續公告股東會日期，法人看好世芯-KY（3661）等高券資比個股，有機會隨股東會前強制回補，配合資金行情展開一波軋空走勢。
法人看好，世芯-KY、華通、上銀 
	                    "
4,20200130,https://udndata.com/ndapp/Story?no=5&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMCuk6bTBPD0yMDIwMDEzMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-30&news_id=9513639,外資盯台股 三劇本應變,"台股今（30）日開紅盤，惟武漢肺炎快速擴散，內外資法人提前歸隊急商對策，以國際股市在封關期間普遍下跌約2%估算，法人認為台股今天開盤恐面臨補跌200點到300點，外資圈更提出「搶反彈」、「疫情加重爆發」、「有驚 
	                    "
0,20200131,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDEzMSuk6bTBPD0yMDIwMDEzMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-01-31&news_id=9514619,台積電、大立光領軍 台股一度反彈逾150點,"政府出面喊話，台股今日在台積電與大立光等權值股領軍下，展開跌深反彈行情，盤中一度反彈逾150點，並重返1萬1500點大關，但投資信心尚未穩定，賣壓還是不輕，10時左右，大盤指數由高點滑落逼近平盤，盤中指數持續呈 
	                    "
0,20200201,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMSuk6bTBPD0yMDIwMDIwMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-01&news_id=9514998,台股反彈 下周防陸股變臉,"台股金鼠年開盤重挫超跌近七百點，財政部長蘇建榮昨天盤前信心喊話護盤，台股止跌收紅，反彈逾七十點。台幣兌美元匯率隨台股反彈同步走升，最高升值一點一七角至卅點一六元，終場升值二點七分，收在卅點二五元。
分 
	                    "
1,20200201,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMSuk6bTBPD0yMDIwMDIwMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-01&news_id=9515031,權值股防疫概念 勇,"盤勢分析
武漢疫情延燒，台股新春開紅盤重挫，跌破季線來到11,400點，出現破線格局，著眼疫情持續，市場變數仍多，短期台股將面臨震盪整理。加權指數昨（31）日收在11,495點，漲0.64%，櫃買指數收在141.77點，漲0.5 
	                    "
2,20200201,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMSuk6bTBPD0yMDIwMDIwMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-01&news_id=9515216,防疫股過熱 電子正規軍可低接,"2002年11月16日廣東省順德市發生首例不明病例，隔年2月10日才首次對外發布300多個病例，正逢春節前後，人口大規模移動造成疫情擴散，當時2月26日台灣出現首位SARS病例，3月4日中國出現死亡病例，3月26日台灣也有人因 
	                    "
3,20200201,https://udndata.com/ndapp/Story?no=4&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMSuk6bTBPD0yMDIwMDIwMSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-01&news_id=9515223,景氣復甦股 強勢,"台股紅盤行情被武漢肺炎打翻，本周大跌623點，仍有156檔個股收平甚至逆勢上漲，除防疫、宅經濟概念熱門股外，英業達、泰鼎-KY等獲法人買超強勢股，成短線多頭觀察指標。
永豐期貨副總經理廖祿民認為，外資昨（31）日 
	                    "
0,20200202,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMiuk6bTBPD0yMDIwMDIwMiuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-02&news_id=9515905,南僑 疫情概念股正夯,"隨著武漢肺炎疫情延燒，南僑（1702）也成為具備抗疫情概念，先前已推出南僑水晶葡萄柚籽抗菌噴霧乾洗手、南僑水晶葡萄柚籽抗菌洗手液等產品，都已經通過SNQ國家品質標章認證，受到武漢肺炎疫情延燒，南僑乾洗手產品也 
	                    "
0,20200203,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516754,食品族一馬當先,"全民一起防堵特殊傳染性肺炎，今天台股再度呈現兩樣情，今天不只是防疫念股強，包括食品股當中跟保健產品有關的個股表現超強，由國內食品大廠統一（1216）領軍上漲近2%，生產保健產品很有名氣的佳格（1227）今天一度 
	                    "
1,20200203,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516740,投資情報站,"指標股：豪展（4735）今日亮燈漲停，買盤持續進駐防疫概念股，除口罩之外，耳溫槍等防疫商品市場也被看好，加以法人評估業績具成長性。
技術分析：今日雖在半年線攻防中，多頭略勝一籌，也讓大盤指數出現下影線而有 
	                    "
2,20200203,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516257,記憶體LED 聚光,"盤勢分析
上周台股開紅盤，指數如預期重挫，防疫概念股口罩、耳溫槍、清潔用品、抗菌以及線上遊戲等少數強勢，更重創市場多頭信心。重災區包括非科技股的觀光航空旅遊股，以及科技股的中國生產基地，包括蘋果供應鏈 
	                    "
3,20200203,https://udndata.com/ndapp/Story?no=4&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516376,鈊象康那香 法人挺,"在武漢疫情爆發下，全球股市漲少跌多，「抗疫受惠股」成為市場矚目焦點。觀察近十個交易日，鈊象、宇峻等均獲三大法人買單進駐。
其中以買超鈊象2,272張最多，宇峻買超1,706張、網龍買超629張。但同時期，新麗、國光 
	                    "
4,20200203,https://udndata.com/ndapp/Story?no=5&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516378,抗疫受惠股勇健 盤面亮點,"武漢肺炎疫情快速蔓延，開始對全球資本市場造成衝擊，但仍有部分產業如口罩、消毒用品、疫苗、耳溫槍等醫材用品，以及與宅經濟相關的遊戲產業等受惠，法人預期將成為「抗疫受惠股」，成為市場關注焦點。
武漢肺炎確 
	                    "
5,20200203,https://udndata.com/ndapp/Story?no=6&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwMyuk6bTBPD0yMDIwMDIwMyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-03&news_id=9516372,恆大新麗 接單火熱,"大陸武漢肺炎疫情升溫，國內新型冠狀病毒確診案例暴增為十例，民眾對於防疫相關物資需求大增，口罩、不織布廠走俏，包括恆大、康那香、新麗和毛寶等相關概念股都應聲大漲。
恆大以目前在台的四條產線每日三班制生產 
	                    "
0,20200204,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNCuk6bTBPD0yMDIwMDIwNCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-04&news_id=9517459,台股開高走高 2天高低距逾400點,"美股昨日跌深反彈，陸股今日早盤未再重挫，激勵台股今日開高走高，盤中上漲逾200點；台股兩天之內的高低點差距超過400點，多頭氣勢不弱。
台積電及大立光股價盤中漲幅逾3%，鴻海漲幅也超過1.5%，帶動台股指數開盤後 
	                    "
1,20200204,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNCuk6bTBPD0yMDIwMDIwNCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-04&news_id=9517033,群創友達認購火熱,"台股昨（3）日受到陸股開市重挫影響，台股開低後跌幅收斂，終場下跌140點，指數收在11,354點。盤面上除口罩及醫材等防疫概念股持續強勢外，就屬面板雙雄的群創與友達異軍突起，投資人可留意友達（2409）、群創（3481 
	                    "
2,20200204,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNCuk6bTBPD0yMDIwMDIwNCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-04&news_id=9516944,選擇權 偏空操作,"受系統性風險影響，台股指數期貨昨（3）日以11,285點開出、下跌184點，權值電子三王領跌，盤中並一度大跌逾300點，低點來到11,152點，隨即低接買盤進場，跌幅明顯收斂，生醫防疫概念股依舊是盤面焦點。台指期終場下跌 
	                    "
3,20200204,https://udndata.com/ndapp/Story?no=4&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNCuk6bTBPD0yMDIwMDIwNCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-04&news_id=9517040,毛寶花仙子 搶抗菌商機,"武漢肺炎疫情擴大，各種防疫用品搶翻天，不只口罩大缺貨，酒精、耳溫槍等同樣熱賣，生產抗菌清潔用品的毛寶（1732）、花仙子昨（3）日股價皆亮燈漲停、並創下新高。
武漢肺炎疫情蔓延，防疫已成為全民運動，「防疫概 
	                    "
4,20200204,https://udndata.com/ndapp/Story?no=5&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNCuk6bTBPD0yMDIwMDIwNCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-04&news_id=9517016,日友兩岸擴產 營運加溫,"武漢肺炎衝擊台股，不過防疫概念股一枝獨秀，其中全台最大醫療廢棄物處理廠日友（8341）因兩岸新產能逐步加入，法人預估營收可望逐季成長。而北京二廠興建工程目前已在收尾階段，並正加速趕工，可望在2月底或3月初加 
	                    "
0,20200205,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNSuk6bTBPD0yMDIwMDIwNSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-05&news_id=9517733,花仙子亞諾法股價翻黑,"連日大漲的「防疫概念股」花仙子（1730）、生技公司亞諾法等，昨（4）日均被主管機關要求公告財務資訊，花仙子去年賺逾4億元，但亞諾法僅賺300萬，但兩家公司昨日股價均翻黑，花仙子更打入跌停，法人揭示防疫概念股可 
	                    "
1,20200205,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNSuk6bTBPD0yMDIwMDIwNSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-05&news_id=9517766,PCB廠不斷鏈 股價強彈,"台股在半年線獲得多方抵抗後，昨（4）日隨國際股市反彈201點，印刷電路板（PCB）族群紛紛回神，欣興（3037）等個股在籌碼換手後，收盤上漲逾4%，多方暫時鬆一口氣。
受惠於美股強彈，以及陸股回穩，台股昨日以高盤開 
	                    "
2,20200205,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNSuk6bTBPD0yMDIwMDIwNSuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-05&news_id=9518118,台股四利多 大戶撿便宜,"在美亞股市同步齊彈、政府基金助推人氣、新台幣匯率強勢升值、投信法人逢低承接等四利多助攻下，台股昨（4）日跌深反彈，在權值股領軍下，終場大漲逾200點，收復11,500點關卡。不過，外資周一（3日）買超一天之後，昨 
	                    "
0,20200206,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNiuk6bTBPD0yMDIwMDIwNiuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-06&news_id=9518541,線上零售服務 可追蹤,"盤勢分析
新型冠狀病毒疫情打亂全球投資人第1季策略布局，原先多頭蓄勢待發的陸股及亞洲股市面臨短線修正。歐美在出現確診病例後，股市波動跟著放大，VIX恐慌指數也在短短幾天從12%迅速竄升到18.84%，顯示短線資金避 
	                    "
0,20200207,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNyuk6bTBPD0yMDIwMDIwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-07&news_id=9519946,防疫股回神,"武漢肺炎疫情威脅未除，鑽石公主號遊輪確診感染病例增加，防疫概念股今（7）日再展開攻勢，亞諾法（4133）宣布將加快中國大陸新型冠狀病毒快速檢測、治療性抗體與疫苗的開發，消息激勵股價開高走高攻上漲停32.45元， 
	                    "
1,20200207,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNyuk6bTBPD0yMDIwMDIwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-07&news_id=9519950,大盤一周高低差達600點,"台股連漲三天後，今日開出低盤，盤中下跌曾逾百點，不過，周線還是拉出長紅K棒，一周內的指數高低點差距達600點。由於台積電市值守住8.5兆元，上市公司總市值也維持在35兆元之上。
台股今日在蘋概三王股表現疲軟之下 
	                    "
2,20200207,https://udndata.com/ndapp/Story?no=3&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwNyuk6bTBPD0yMDIwMDIwNyuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-07&news_id=9519705,外資回頭挺台股,"在權王台積電領軍，及外資買超52億元，創金鼠年開紅盤來最大買超金額帶動下，台股昨（6）日大漲176點，今天將挑戰重回10日線、季線。法人認為，台股短線反彈幅度大，後市需觀察「月季線死亡交叉壓力、元月營收表現、 
	                    "
0,20200208,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIwOCuk6bTBPD0yMDIwMDIwOCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-08&news_id=9520347,生技湧買盤 精兵出列,"武漢肺炎疫情再傳新病例，台股昨（7）日因三大法人摜壓逾百億元，終場大跌逾百點挑戰季線未果，但生技股湧現避險買盤，重新躍居抗跌焦點，法人建議可打鐵趁熱汰弱留強，相關如南光（1752）、金可-KY等趨勢確立生技股 
	                    "
0,20200210,https://udndata.com/ndapp/Story?no=1&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIxMCuk6bTBPD0yMDIwMDIxMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-10&news_id=9521726,投資除菌棒 台塑化變防疫概念股,"台塑化意外變身「防疫概念股」，旗下轉投資的福機裝（ＮＫＦＧ）公司，與日本的諾貝爾物理獎得主天野浩教授合作，開發出獨門的ＵＶ-ＬＥＤ殺菌技術，新推出一款除菌棒，號稱一秒鐘完成殺菌，讓口罩重複使用，在網路上 
	                    "
1,20200210,https://udndata.com/ndapp/Story?no=2&page=1&udndbid=udndata&SearchString=qL6szLenqcCq0Suk6bTBPj0yMDIwMDIxMCuk6bTBPD0yMDIwMDIxMCuz%2BKdPPcFwpliz%2BHy4Z8DZpOmz%2BHzBcKZYsd%2Bz%2BHxVcGFwZXI%3D&sharepage=50&select=1&kind=2&article_date=2020-02-10&news_id=9521968,高端,"生技股跟防疫概念的高端（6547）今天再度出現人氣，股價盤中漲幅達5%。受到新冠肺炎疫情持續擴散，防疫成為重要任務，台股當中的防疫概念股成為資金避風港。
隨著疫情蔓延，市場也傳出政策將組抗疫國家隊，高端是國 
	                    "
